ccmasterid	ccjobpart	componentdescription	ccpartdesc	ccpages	finalsize	flatsize
53966       	01   	Cover               	PB | Off | {Cover} 4 Page (PUR) | Sht                           	4	8.375 x 10.875	17.5042 x 11.125
53966       	02   	Pages               	PB | Off | {Text} 16 Page (PUR) | Web                           	16	8.375 x 10.875	34.5 x 22.25
53966       	03   	Pages               	PB | A4 | Off | {Text} 08 Page (PUR) | Web                      	8	8.375 x 10.875	17.125 x 22.25
53966       	04   	Pages               	PB | Off | {Text} 04 Page (PUR) | Web                           	4	8.375 x 10.875	17.25 x 11.125
53966       	05   	Pages               	Reverse 4 Page Fold Out                                         	4	8.375 x 10.875	17 x 11.125
